Filename	Segment	posemo	negemo	reward	risk	focuspast	focuspresent	focusfuture
allText371.txt	1	3,86	1,14	1,52	0,32	3,86	8,60	1,71
allText372.txt	1	5,24	1,14	1,59	0,23	1,82	8,66	1,37
allText373.txt	1	2,47	2,79	1,27	0,57	1,65	7,98	2,47
allText374.txt	1	2,77	1,11	2,45	0,49	1,34	8,71	1,63
allText375.txt	1	4,12	0,41	2,50	0,27	2,16	11,07	1,35
allText376.txt	1	5,20	0,71	2,44	0,24	3,15	11,19	1,65
allText377.txt	1	3,62	0,97	1,33	0,36	2,17	10,75	1,69
allText378.txt	1	4,10	2,43	2,18	0,34	1,26	7,87	2,18
allText379.txt	1	4,91	1,27	1,82	0,36	0,73	5,27	1,45
allText38.txt	1	8,70	6,52	6,52	6,52	2,17	10,87	4,35
allText380.txt	1	3,32	1,75	2,33	0,58	2,33	9,69	3,36
allText381.txt	1	2,63	1,48	1,60	0,68	2,51	8,90	1,40
allText382.txt	1	2,26	2,00	1,64	1,33	1,87	7,74	1,31
allText383.txt	1	3,40	1,66	1,08	0,58	1,82	9,44	1,33
allText384.txt	1	6,85	1,49	1,93	0,44	1,67	10,28	2,11
allText385.txt	1	3,49	0,81	1,05	0,23	4,31	10,36	1,28
allText386.txt	1	2,89	2,07	1,09	0,23	3,63	5,62	1,33
allText387.txt	1	3,15	1,21	0,74	0,47	3,02	9,26	1,21
allText388.txt	1	2,89	1,18	2,15	0,39	2,20	10,04	2,11
allText389.txt	1	2,17	1,18	1,79	0,24	1,93	6,64	1,70
allText39.txt	1	5,79	1,10	1,93	0,55	3,86	7,99	1,65
allText390.txt	1	5,59	0,31	1,72	0,25	1,35	10,38	1,17
allText391.txt	1	4,44	1,45	1,97	0,51	2,91	9,66	1,88
allText392.txt	1	4,20	0,74	1,98	0,49	3,21	9,14	0,99
allText393.txt	1	1,97	1,11	1,80	0,43	0,51	7,96	2,22
allText394.txt	1	4,08	1,53	0,51	0,51	1,02	10,88	2,72
allText395.txt	1	5,41	1,08	1,62	0,27	1,35	8,11	0,54
allText396.txt	1	4,00	1,43	2,25	0,50	1,79	9,40	2,93
allText397.txt	1	3,55	0,92	1,83	0,00	1,95	9,05	1,26
allText398.txt	1	3,68	1,25	1,60	0,53	2,67	8,67	1,54
allText399.txt	1	5,02	0,58	1,40	0,25	2,06	8,06	1,40
allText4.txt	1	0,43	0,43	0,00	0,43	0,00	6,01	0,00
allText40.txt	1	3,97	0,33	1,49	0,50	0,83	8,94	1,49
allText400.txt	1	4,42	1,46	2,60	0,12	1,14	8,12	1,64
allText401.txt	1	5,86	0,17	1,98	0,00	3,36	10,09	1,47
allText402.txt	1	4,23	1,80	2,17	0,90	1,36	9,62	3,07
allText403.txt	1	4,56	2,46	2,05	0,68	2,69	8,20	1,28
allText404.txt	1	3,74	2,25	1,12	1,22	1,68	9,92	2,62
allText405.txt	1	3,66	1,40	2,48	0,32	1,16	5,59	2,85
allText406.txt	1	5,41	0,10	1,20	0,00	1,90	8,22	2,40
allText407.txt	1	3,39	4,68	1,75	0,94	1,87	8,07	0,58
allText408.txt	1	4,35	2,07	2,69	0,31	0,83	8,83	1,73
allText409.txt	1	5,14	1,10	1,47	0,18	1,65	6,42	0,37
allText41.txt	1	4,35	0,97	1,69	0,72	0,97	10,87	3,86
allText410.txt	1	2,99	2,40	2,01	0,59	0,92	8,81	2,63
allText411.txt	1	4,01	2,22	2,44	0,26	1,79	6,97	2,00
allText412.txt	1	3,29	1,06	2,15	0,23	1,20	7,85	1,66
allText413.txt	1	3,55	0,13	1,71	0,26	0,92	11,18	2,24
allText414.txt	1	5,52	0,44	2,47	0,29	2,03	9,51	1,60
allText415.txt	1	6,00	1,66	2,68	0,43	0,75	7,66	2,14
allText416.txt	1	4,09	0,27	1,09	0,27	1,63	8,45	4,90
allText417.txt	1	4,18	1,15	2,91	1,03	2,18	9,87	2,18
allText418.txt	1	3,85	0,80	1,55	0,23	2,35	5,35	0,85
allText419.txt	1	3,49	0,38	2,31	0,25	1,35	7,57	2,52
allText42.txt	1	5,34	0,97	0,00	0,97	2,43	15,53	3,40
allText420.txt	1	4,44	1,73	0,65	0,98	1,52	10,51	1,30
allText421.txt	1	3,26	0,36	2,54	0,36	0,72	12,68	2,90
allText422.txt	1	4,63	1,40	2,48	0,43	1,94	10,24	2,48
allText423.txt	1	3,89	2,17	1,15	0,13	1,85	6,75	1,21
allText424.txt	1	4,18	1,32	1,54	0,44	0,88	8,57	1,76
allText425.txt	1	4,89	3,11	1,93	0,59	1,19	8,89	2,81
allText426.txt	1	3,05	0,76	1,78	1,27	1,78	7,38	2,29
allText427.txt	1	2,03	0,29	1,16	0,29	1,45	4,36	3,78
allText428.txt	1	5,82	0,34	5,65	0,68	2,23	9,25	2,57
allText429.txt	1	1,60	2,45	5,02	0,32	0,64	6,83	4,38
allText43.txt	1	1,96	0,65	3,27	0,65	2,61	12,42	1,31
allText430.txt	1	6,05	1,08	2,59	0,86	1,73	12,10	1,94
allText431.txt	1	4,58	1,54	2,20	0,33	1,87	7,76	2,62
allText432.txt	1	4,46	0,48	3,98	0,16	0,96	11,46	3,34
allText433.txt	1	2,91	1,64	2,09	1,12	0,89	11,71	3,73
allText434.txt	1	3,62	0,43	2,03	0,21	1,17	8,10	2,13
allText435.txt	1	2,85	1,58	1,77	0,70	1,27	11,02	1,65
allText436.txt	1	3,87	3,87	0,92	0,18	0,74	9,04	1,85
allText437.txt	1	4,86	1,78	1,78	0,32	1,30	9,56	1,13
allText438.txt	1	1,46	0,73	0,49	0,00	1,22	10,95	0,97
allText439.txt	1	4,46	3,37	1,98	0,10	1,29	8,03	2,48
allText44.txt	1	3,19	2,13	4,26	2,13	3,19	9,57	2,13
